@c 0.184956803487
@x1 1.76407935335
@x0 0.000416234000528
@z 0.0927946133707
@t0 57969.4306866
time band flux fluxerr zp zpsys
57959.4306866 smg 2038.69842166 53.1321556467 27.6256714707 ab
57960.4306866 smg 929.585037545 40.2996931739 26.6253818771 ab
57961.4306866 smg 786.729464026 38.6722394802 26.379438073 ab
57962.4306866 smg 770.667271295 38.5378266379 26.2926525082 ab
57964.4306866 smg 1694.37346157 49.7750799864 27.0456406129 ab
57966.4306866 smg 906.488060655 39.8832193162 26.2828939146 ab
57967.4306866 smg 726.054006565 37.8904578536 26.0829475787 ab
57969.4306866 smg 3040.6455813 62.260622151 27.6225693553 ab
57971.4306866 smg 1230.05754558 44.4546148259 26.6721981431 ab
57972.4306866 smg 2186.67747613 54.4787257549 27.3060227299 ab
57974.4306866 smg 1391.58606724 47.0695175653 26.9303264695 ab
57975.4306866 smg 905.904799746 40.855581237 26.4957719081 ab
57976.4306866 smg 1428.37992138 46.6777170668 26.9748757945 ab
57977.4306866 smg 182.338754629 28.1266827966 24.7441496875 ab
57979.4306866 smg 1221.43136192 44.4704898531 26.9537434912 ab
57981.4306866 smg 745.623187445 37.4077766173 26.4413295999 ab
57983.4306866 smg 1269.12351304 44.2377519192 27.1896804957 ab
57984.4306866 smg 598.977485812 35.2984197984 26.4048316359 ab
57985.4306866 smg 449.711722918 33.8865347704 26.287170389 ab
57987.4306866 smg 1316.0706669 45.7659617057 27.6032218536 ab
57988.4306866 smg 669.3022698 36.9566351805 26.8858743853 ab
57990.4306866 smg 344.68608403 32.0574663559 26.3351113383 ab
57992.4306866 smg 607.849590526 37.0649919666 27.2101098628 ab
57994.4306866 smg 295.605343924 31.4412709004 26.5190823643 ab
57996.4306866 smg 493.105392723 34.4656108352 27.1577562059 ab
57997.4306866 smg 464.263036204 34.5001746404 27.2155132906 ab
57998.4306866 smg 538.20170859 36.0752861408 27.4855006648 ab
58000.4306866 smg 89.4343767027 27.3966495735 25.6724243215 ab
58001.4306866 smg 569.071592003 37.0210576336 27.7794876087 ab
58003.4306866 smg 1216.17847776 45.6363118867 28.7294475035 ab
58005.4306866 smg 484.36977639 35.6040664102 27.8512996197 ab
58006.4306866 smg 200.804750419 30.906667801 27.0563706215 ab
57959.4308255 smr 247.47329474 29.2163295952 25.1473733825 ab
57960.4308255 smr 360.479775101 31.3151675557 25.4658562591 ab
57961.4308255 smr 329.372614258 31.4268238824 25.3958856028 ab
57962.4308255 smr 473.127083148 33.7115731989 25.6716434789 ab
57964.4308255 smr 406.572183799 31.266543412 25.1950235585 ab
57966.4308255 smr 289.942249284 30.3627661557 24.9796121705 ab
57967.4308255 smr 289.913998425 29.0105889157 24.6869362603 ab
57969.4308255 smr 381.937712206 32.1973180186 25.2484102526 ab
57971.4308255 smr 415.965468975 32.3373869104 25.2659914251 ab
57972.4308255 smr 429.116317698 32.4808474461 25.2926888842 ab
57974.4308255 smr 245.562822875 29.1154050351 24.7105387813 ab
57975.4308255 smr 287.834624007 29.5702681821 24.8243134109 ab
57976.4308255 smr 475.93331379 32.9542306071 25.4284889908 ab
57977.4308255 smr 363.619263233 31.2813053129 25.1942725564 ab
57979.4308255 smr 409.397780946 31.8337847494 25.3547051316 ab
57981.4308255 smr 493.052784281 33.3945558971 25.6760863529 ab
57983.4308255 smr 253.251417263 29.0556039377 25.000462834 ab
57984.4308255 smr 169.844579737 28.5182148588 24.919427204 ab
57985.4308255 smr 183.98036393 28.1638642404 24.8702634703 ab
57987.4308255 smr 234.932298089 30.1182034059 25.3956328801 ab
57988.4308255 smr 246.621587722 29.8649830687 25.3659099744 ab
57990.4308255 smr 242.872469625 29.3770414979 25.2993781505 ab
57992.4308255 smr 279.485244386 30.3272725433 25.5443134768 ab
57994.4308255 smr 197.499181693 28.7352329263 25.216475854 ab
57996.4308255 smr 207.929562249 28.9382419492 25.2969888219 ab
57997.4308255 smr 183.132677355 28.3692519204 25.1629395701 ab
57998.4308255 smr 344.334136035 31.378475947 25.8499888285 ab
58000.4308255 smr 227.280994178 30.3596536163 25.7056073855 ab
58001.4308255 smr 127.113395574 28.3521181843 25.2554766853 ab
58003.4308255 smr 136.548426372 26.76379954 24.8111011758 ab
58005.4308255 smr 61.5892678862 26.1165551268 24.6154305032 ab
58006.4308255 smr 217.49850113 28.9764806772 25.6222810128 ab
57959.4309644 smi 1533.20020515 47.7482832391 27.3573274465 ab
57960.4309644 smi 737.736780839 37.5195200912 26.4255502622 ab
57961.4309644 smi 1891.40769651 50.5569022858 27.3664445614 ab
57962.4309644 smi 1730.58210742 49.796291505 27.2716413912 ab
57964.4309644 smi 630.671314126 36.2754864016 26.1420688897 ab
57966.4309644 smi 872.469011563 40.0412565207 26.5618604493 ab
57967.4309644 smi 567.244672694 35.5121490586 26.1005486757 ab
57969.4309644 smi 495.155768814 34.2096531531 25.9318801962 ab
57971.4309644 smi 212.505083223 29.1701264443 25.050364235 ab
57972.4309644 smi 1559.27795268 47.9761384825 27.1642225094 ab
57974.4309644 smi 1195.38377295 44.3399535333 26.9312858138 ab
57975.4309644 smi 1182.4437683 43.9501933986 26.9252111182 ab
57976.4309644 smi 712.038024811 36.9458055432 26.3248388134 ab
57977.4309644 smi 1208.33851465 44.1580109817 27.0186728971 ab
57979.4309644 smi 3210.12490035 62.7686304095 28.1667396542 ab
57981.4309644 smi 455.481993601 33.7658488873 26.2009601922 ab
57983.4309644 smi 250.238520925 30.8055601909 25.8427177128 ab
57984.4309644 smi 530.897318238 35.3633135887 26.6286298037 ab
57985.4309644 smi 1240.0648398 44.3401492054 27.5542252645 ab
57987.4309644 smi 600.800808091 35.4686437245 26.7211066309 ab
57988.4309644 smi 991.868771444 41.575794752 27.3411541192 ab
57990.4309644 smi 624.615624153 37.9430314625 26.9591720558 ab
57992.4309644 smi 132.624479367 29.2631663346 25.5808877266 ab
57994.4309644 smi 676.445529732 37.8293363031 26.903848618 ab
57996.4309644 smi 686.03042279 37.341110131 26.7695893108 ab
57997.4309644 smi 2307.00770411 55.8833610488 28.0634172094 ab
57998.4309644 smi 286.267507391 29.3449415945 25.4352265367 ab
58000.4309644 smi 1352.97190255 45.8097877709 27.4150334474 ab
58001.4309644 smi 833.674908689 38.650314107 26.8253599425 ab
58003.4309644 smi 553.687935426 35.1230785387 26.4750969665 ab
58005.4309644 smi 2472.40911324 56.915845849 28.2094652945 ab
58006.4309644 smi 841.507249793 39.9366234456 27.1200786062 ab
57952.4306866 kst 45.3550326105 6.83612180764 25.47 ab
57952.6806866 kst 52.6315710584 7.28587367843 25.47 ab
57952.9306866 kst 52.4925926287 7.73483630286 25.47 ab
