@c 0.0252988789207
@x1 -0.783526511365
@x0 0.00328355017816
@z 0.034447808124
@t0 57834.9119874
time band flux fluxerr zp zpsys
57821.9119874 smg 2512.05633275 111.497483208 27.179094798 ab
57822.9119874 smg 1444.15434322 107.188121931 26.2745369519 ab
57824.9119874 smg 6430.8887461 128.442524785 27.301077801 ab
57826.9119874 smg 13097.5558577 152.387105513 27.6245706058 ab
57827.9119874 smg 3303.12956322 116.173944933 26.0135522597 ab
57829.9119874 smg 26967.9501789 192.009710517 27.9976590107 ab
57830.9119874 smg 25836.0701034 189.311315202 27.878370668 ab
57831.9119874 smg 17768.7325178 166.683718137 27.4159964461 ab
57833.9119874 smg 2995.08547708 113.476360843 25.3763831421 ab
57834.9119874 smg 2733.47277526 113.339679139 25.3596414917 ab
57835.9119874 smg 3194.08702556 115.55493153 25.5461864302 ab
57837.9119874 smg 24729.1521889 185.707604463 27.7538900733 ab
57838.9119874 smg 28807.9136571 196.758170987 27.9666488824 ab
57840.9119874 smg 7417.96084826 132.706914318 26.6271012003 ab
57841.9119874 smg 6129.35029224 126.399608731 26.4264669904 ab
57842.9119874 smg 4150.09459863 119.57597473 26.1388996751 ab
57843.9119874 smg 7702.12101289 133.161533636 26.8525220297 ab
57844.9119874 smg 6933.60689052 129.746807249 26.7976065379 ab
57846.9119874 smg 10958.8986273 144.828545778 27.480365223 ab
57847.9119874 smg 7389.32243131 131.386656211 27.1237795693 ab
57848.9119874 smg 5673.13236344 124.810058609 26.9324887424 ab
57850.9119874 smg 3472.7089289 116.095157787 26.6125470102 ab
57852.9119874 smg 852.507300269 103.830261176 25.1768739632 ab
57854.9119874 smg 3229.97003898 115.026817214 26.8995309303 ab
57856.9119874 smg 1827.62650234 109.055643863 26.4839162713 ab
57858.9119874 smg 5176.58171334 123.172489328 27.735440049 ab
57860.9119874 smg 2299.02817303 111.567453262 27.087197208 ab
57862.9119874 smg 629.940288292 103.362876387 25.8591073041 ab
57863.9119874 smg 1739.00757685 107.850170558 26.8741406441 ab
57864.9119874 smg 2482.22758987 110.446550207 27.2641228382 ab
57865.9119874 smg 1396.904436 106.978460193 26.8697908704 ab
57867.9119874 smg 1119.37118542 105.39875913 26.6935760308 ab
57869.9119874 smg 1081.87764234 105.391833804 26.7888700099 ab
57870.9119874 smg 341.789769362 101.571496278 25.4732382562 ab
57872.9119874 smg 2161.16345076 110.20114392 27.6260770148 ab
57874.9119874 smg 2104.56806296 109.72777258 27.635027064 ab
57821.9121263 smr 524.939831903 102.625719134 25.4767964741 ab
57822.9121263 smr 668.854348833 103.168931958 25.335300585 ab
57824.9121263 smr 823.000550877 104.104618091 25.0815901408 ab
57826.9121263 smr 1532.46738102 107.791892746 25.3721970441 ab
57827.9121263 smr 1523.32384891 107.156862779 25.1193591493 ab
57829.9121263 smr 3232.83929506 115.037474743 25.7557887474 ab
57830.9121263 smr 2095.23212857 110.064106336 25.2284721043 ab
