@c 0.364818880184
@x1 -2.94173535041
@x0 0.000440902155496
@z 0.0903181899764
@t0 57803.9416043
time band flux fluxerr zp zpsys
57798.9416043 smg 418.00175506 475.977785011 26.4125618926 ab
57801.9416043 smg 829.159211909 476.28930055 26.4984605307 ab
57804.9416043 smg 3392.16922519 479.76965127 27.9504576437 ab
57807.9416043 smg 3180.5913638 478.78106919 27.8146227176 ab
57810.9416043 smg -200.68186371 475.764809418 26.2078614987 ab
57813.9416043 smg 763.460534206 475.833040804 26.6341778889 ab
57816.9416043 smg 647.537147778 475.509298225 26.3886971747 ab
57819.9416043 smg 818.152227532 476.329718533 27.9551806423 ab
57822.9416043 smg 198.160325833 475.430817931 27.0269329115 ab
57825.9416043 smg -476.774966824 475.289929769 26.8411850201 ab
57828.9416043 smg -3.63430051328 475.328194846 27.2320952756 ab
57831.9416043 smg -434.879700841 475.175551649 26.574168017 ab
57834.9416043 smg 20.2054140175 475.289398947 27.7337987897 ab
57837.9416043 smg 271.318794694 475.21586919 27.3212348752 ab
57840.9416043 smg 439.572197684 475.208332807 27.2341189219 ab
57843.9416043 smg 94.5870816359 475.175965989 26.9253763525 ab
57846.9416043 smg 268.777306744 475.136620778 26.3858759358 ab
57849.9416043 smg -127.162769623 475.152786447 26.7110457583 ab
57852.9416043 smg 191.989498508 475.208557989 27.4050781056 ab
57855.9416043 smg 18.7090612385 475.166228026 27.0744970542 ab
57798.9417432 smr 1835.34981569 344.247002319 26.8431843252 ab
57801.9417432 smr 135.408186424 342.315654706 25.0606234766 ab
57804.9417432 smr 763.998307592 342.786203999 25.6044362747 ab
57807.9417432 smr 203.181241762 342.033453517 24.3323501142 ab
57810.9417432 smr 871.715341984 342.628528183 25.6078713882 ab
57813.9417432 smr 771.760445321 343.002779828 26.2271927738 ab
57816.9417432 smr 76.9455310106 342.363927186 25.67257846 ab
57819.9417432 smr 1495.28983255 342.810166379 26.3430066578 ab
57822.9417432 smr 548.813138545 341.959029069 24.8705186339 ab
57825.9417432 smr 67.3212246471 342.250211458 25.8820321283 ab
57828.9417432 smr 861.42728372 342.141313971 25.8509142922 ab
57831.9417432 smr -99.6943733252 341.776719209 24.1691120634 ab
57834.9417432 smr 444.978208583 342.172448201 26.6290489427 ab
57837.9417432 smr -88.571346062 341.809288554 25.2416308556 ab
57840.9417432 smr 25.6412206632 341.824581626 25.5773328393 ab
57843.9417432 smr 742.775125273 341.810936115 25.5074778057 ab
57846.9417432 smr -26.8406760961 342.079839683 26.8901268139 ab
57849.9417432 smr -723.428304211 341.75818824 24.677281797 ab
57852.9417432 smr 741.313372874 341.803062055 25.4266370459 ab
57855.9417432 smr 271.996035199 341.779556947 25.1764768079 ab
57798.9418821 smi 2309.57986998 235.384576391 27.0037521581 ab
57801.9418821 smi 1978.81158629 234.807587418 26.7718934158 ab
57804.9418821 smi 4286.71068739 238.734462212 27.5376070346 ab
57807.9418821 smi 561.217216043 232.405540538 26.0540145992 ab
57810.9418821 smi 2027.24087689 235.333526181 27.2172563049 ab
57813.9418821 smi 772.649524891 231.260377593 25.6265568207 ab
57816.9418821 smi 575.812943085 232.340104881 26.6432211409 ab
57819.9418821 smi 305.955319404 230.960607571 25.1347751851 ab
57822.9418821 smi 2076.27906 235.28528202 27.4864229299 ab
57825.9418821 smi 1750.11874627 233.655813962 27.0069377988 ab
57828.9418821 smi 654.712438111 231.455901865 25.7896767557 ab
57831.9418821 smi 880.721906901 232.667863865 26.8842470825 ab
57834.9418821 smi 176.415133873 231.893331043 26.7703106344 ab
57837.9418821 smi 17.3275027506 230.662016526 25.1823431683 ab
57840.9418821 smi 82.8939889465 230.944956163 26.3947701968 ab
57843.9418821 smi 392.774772903 230.53129025 24.9048211167 ab
57846.9418821 smi 414.318780751 230.639713904 25.7057346665 ab
57849.9418821 smi 440.966966259 230.879738644 26.5693846389 ab
57852.9418821 smi 15.3545676979 230.563926523 25.3983777021 ab
57855.9418821 smi 149.180649083 230.787918348 26.5854203133 ab
57798.942021 smv -70.0091685293 153.53595209 23.8910943177 ab
57801.942021 smv -138.967198085 153.503681682 23.1430893325 ab
