@c -0.353943779374
@x1 -0.940138720481
@x0 0.00144481776689
@z 0.0512990146728
@t0 57766.0224977
time band flux fluxerr zp zpsys
57755.0224977 smg 1207.88568841 44.1818919419 26.7247799263 ab
57757.0224977 smg 3073.4247687 62.4650655671 27.2285496033 ab
57758.0224977 smg 3550.6878935 65.6650243606 27.1524756776 ab
57759.0224977 smg 2301.17658798 54.9168887772 26.5145999885 ab
57761.0224977 smg 2889.06969596 60.4990181726 26.5542176232 ab
57762.0224977 smg 7381.19375252 90.6944818867 27.4861470974 ab
57763.0224977 smg 11858.547112 112.870225995 27.9422948069 ab
57764.0224977 smg 1117.8022187 41.9886728661 25.3347897617 ab
57766.0224977 smg 3379.82641765 64.7495786454 26.5444384367 ab
57768.0224977 smg 1711.26839353 48.5710987405 25.7941203219 ab
57770.0224977 smg 3499.99132171 66.4651176135 26.7216249149 ab
57772.0224977 smg 1959.59789562 50.833120811 26.1104217859 ab
57774.0224977 smg 6137.36306352 83.7888142066 27.547060804 ab
57775.0224977 smg 3986.77409995 67.8636796293 27.1075871764 ab
57776.0224977 smg 9907.32507099 104.040780519 28.2274081813 ab
57777.0224977 smg 2337.52313874 54.9066134769 26.7183474762 ab
57779.0224977 smg 1096.15229551 42.3260657656 26.1186720977 ab
57780.0224977 smg 9208.26091077 100.018622578 28.5182002235 ab
57782.0224977 smg 2386.50902695 55.3052513236 27.234088847 ab
57784.0224977 smg 522.657248403 33.9007583452 25.7458836059 ab
57786.0224977 smg 841.950727368 39.0347228574 26.5115927541 ab
57788.0224977 smg 150.94744227 27.355400528 24.7393218235 ab
57790.0224977 smg 4411.36347784 72.1526695291 28.6731367324 ab
57792.0224977 smg 555.923086588 35.5720440821 26.6052995242 ab
57794.0224977 smg 1010.64626536 41.5420818067 27.3798381022 ab
57795.0224977 smg 236.614595134 29.4530369719 25.7555076795 ab
57797.0224977 smg 348.280322878 33.6176484237 26.6669730151 ab
57799.0224977 smg 215.590617498 28.9428622822 25.8055149449 ab
57801.0224977 smg 636.68566498 36.869634609 27.2811440726 ab
57802.0224977 smg 214.394368979 30.1559505843 26.2158068267 ab
57804.0224977 smg 156.428508719 30.5795814517 26.3704700471 ab
57806.0224977 smg 401.393356611 33.7480946279 27.0110529673 ab
57807.0224977 smg 436.210540798 34.2292043249 27.1072825613 ab
57808.0224977 smg 267.860021947 31.4460599792 26.6455341335 ab
57810.0224977 smg 280.212610658 29.3119131452 26.1829672452 ab
57811.0224977 smg 68.1908477304 27.0581711022 25.4356714063 ab
57812.0224977 smg 211.348697249 30.2789744777 26.472327931 ab
57814.0224977 smg 159.587077554 29.6917659195 26.3645088283 ab
57816.0224977 smg 842.941451254 39.9631917443 28.0122857978 ab
57817.0224977 smg 260.389872643 31.0532355577 26.7511472392 ab
57818.0224977 smg 316.666285888 32.4443722702 27.0510122874 ab
57755.0226366 smr 117.851907409 27.6603402955 24.8388257949 ab
57757.0226366 smr 301.504384824 31.0834004698 25.2300571775 ab
57758.0226366 smr 628.653329196 36.0465830078 25.7475317075 ab
57759.0226366 smr 438.626642635 33.2292038604 25.2547154747 ab
57761.0226366 smr 461.258230324 33.4478148581 25.0950299566 ab
57762.0226366 smr 560.743071357 34.7710021527 25.2005722134 ab
57763.0226366 smr 370.670088282 31.5272651674 24.7109342784 ab
57764.0226366 smr 228.248106599 28.3504613378 24.0850962725 ab
57766.0226366 smr 375.052689705 31.7285411353 24.6631883924 ab
57768.0226366 smr 802.476194566 38.6078144083 25.4671571472 ab
57770.0226366 smr 366.355216206 31.7260875423 24.6789578931 ab
57772.0226366 smr 777.181191487 37.1908054389 25.4181237646 ab
57774.0226366 smr 398.051184439 31.7508680341 24.8479045822 ab
57775.0226366 smr 515.39730616 34.1561780406 25.2504942314 ab
57776.0226366 smr 786.132619585 38.1527744676 25.7588884458 ab
57777.0226366 smr 475.999519764 33.1808856518 25.2408200993 ab
57779.0226366 smr 494.044026753 33.2487447598 25.3415712831 ab
57780.0226366 smr 333.479116955 30.7103839237 24.9771818689 ab
57782.0226366 smr 314.738845232 30.8376529754 25.0602271907 ab
57784.0226366 smr 298.912123211 30.1872672323 24.9872487943 ab
57786.0226366 smr 802.510337697 37.7561173907 26.0778834136 ab
57788.0226366 smr 218.313645323 29.2548886114 24.8934254015 ab
57790.0226366 smr 229.959104103 29.7505690576 25.0651941756 ab
57792.0226366 smr 215.984551782 28.4165315072 24.8426502407 ab
57794.0226366 smr 171.051626125 27.2121329786 24.5938867923 ab
57795.0226366 smr 243.314674876 29.518450324 25.248273298 ab
57797.0226366 smr 182.418260715 27.7855204205 24.9103196517 ab
57799.0226366 smr 167.142389066 27.6798662766 24.9840880385 ab
57801.0226366 smr 135.795122113 27.2689658109 24.9472587335 ab
57802.0226366 smr 116.879392174 27.4792898092 25.0585248938 ab
57804.0226366 smr 152.908239716 27.6459718631 25.1842389006 ab
57806.0226366 smr 207.521882134 28.7888880738 25.5806652441 ab
57807.0226366 smr 94.3655573224 27.0896214811 25.0657789881 ab
57808.0226366 smr 115.176318014 27.224361454 25.1347020676 ab
57810.0226366 smr 74.3537209554 29.3359431003 25.8174342876 ab
57811.0226366 smr 169.452157476 27.9489362933 25.4438303975 ab
57812.0226366 smr 232.156113195 29.4635729958 25.8970842293 ab
57814.0226366 smr 122.075467953 27.9728892456 25.5155385707 ab
57816.0226366 smr 229.425150414 29.2742613918 25.9398659614 ab
57817.0226366 smr 81.4694485215 25.5993253895 24.5787547234 ab
57818.0226366 smr 57.0333560333 26.740607361 25.1343056423 ab
57755.0227755 smi 156.558427013 27.8352740566 25.1407015788 ab
57757.0227755 smi 1260.12703886 45.1471981096 27.0934128006 ab
57758.0227755 smi 973.454900503 41.3060979656 26.6242829434 ab
57759.0227755 smi 846.332958129 39.4703004679 26.3364035408 ab
57761.0227755 smi 1645.59842248 48.1905319702 26.8571797855 ab
57762.0227755 smi 1471.6477766 47.0051576556 26.755575514 ab
57763.0227755 smi 1953.45144724 52.0210606267 27.0525178404 ab
57764.0227755 smi 8429.76424134 96.7174334796 28.6417505692 ab
57766.0227755 smi 2769.42054577 59.5366761055 27.4509194652 ab
57768.0227755 smi 1252.37759145 43.3027371015 26.5498685861 ab
57770.0227755 smi 1336.52440641 46.0816741351 26.8003148985 ab
57772.0227755 smi 2695.37124598 58.9567869543 27.6076490519 ab
57774.0227755 smi 2588.74509846 57.6910846448 27.7081935197 ab
57775.0227755 smi 604.014369863 36.1098792072 26.259562304 ab
57776.0227755 smi 1868.23850973 50.9058774855 27.5370193321 ab
57777.0227755 smi 1072.60304817 42.2258291038 27.0062890629 ab
57779.0227755 smi 3069.93150659 62.2138165081 28.2387893711 ab
57780.0227755 smi 551.058717258 35.1741947713 26.3587655142 ab
57782.0227755 smi 975.791327015 41.4136578557 26.996235484 ab
57784.0227755 smi 258.977903151 30.3037607615 25.5391063381 ab
57786.0227755 smi 1457.66498758 47.830367158 27.4060447118 ab
57788.0227755 smi 456.379535214 33.6783451643 26.0607063018 ab
57790.0227755 smi 571.225586481 35.0360774556 26.2496372864 ab
57792.0227755 smi 877.651571748 39.5937848846 26.7899669982 ab
