@c -0.397916192736
@x1 -0.496435255363
@x0 0.000382333347271
@z 0.09656584134
@t0 58074.0378376
time band flux fluxerr zp zpsys
58069.0378376 smg 515.591185126 476.448340194 26.9606985771 ab
58074.0378376 smg 3280.64059703 478.348050713 27.76821081 ab
58079.0378376 smg -438.516726534 475.661674238 26.0596898681 ab
58084.0378376 smg 829.651836469 476.078161782 26.9990736471 ab
58089.0378376 smg 272.460265156 475.691747757 26.9479194895 ab
58094.0378376 smg -132.97972594 475.381314583 26.697100737 ab
58099.0378376 smg 472.538147319 475.399384175 27.2093527695 ab
58104.0378376 smg 185.426699343 475.190969554 26.4577382345 ab
58069.0379765 smr 341.407962857 342.573899939 26.6516627087 ab
58074.0379765 smr 233.399663834 342.133601305 25.6805852694 ab
58079.0379765 smr 306.652489917 341.917429626 24.9468554021 ab
58084.0379765 smr 211.136811276 341.929943701 25.2466358174 ab
58089.0379765 smr 336.230849543 342.038427381 25.9585457234 ab
58094.0379765 smr 387.365245773 343.229710524 27.858458897 ab
58099.0379765 smr 431.135909057 342.0616008 26.4873461746 ab
58104.0379765 smr -198.126377939 341.82939712 25.5815950419 ab
58069.0381154 smi 376.951963276 230.938080096 26.1103030334 ab
58074.0381154 smi 450.047741699 230.644990667 25.1736354856 ab
58079.0381154 smi 83.5229014902 230.992277068 26.2818732947 ab
58084.0381154 smi 324.416821421 231.06131785 26.7437886083 ab
58089.0381154 smi -66.2268888947 230.881584222 26.5925731294 ab
58094.0381154 smi 67.1551758679 230.780296769 26.3056261403 ab
58099.0381154 smi 418.288730446 231.397287344 27.3725973454 ab
58104.0381154 smi -102.03607142 230.766295913 26.3728074387 ab
58069.0382543 smv 184.914446901 154.084749328 24.6746321252 ab
58074.0382543 smv 137.366760866 154.332472653 25.0980189389 ab
